Age Range,Industry,Job Title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
25-34,Engineering or Manufacturing,Technician,42000,0,USD,United States,Wisconsin,Madison,2 - 4 years,2 - 4 years,Some college,Woman
45-54,Computing or Tech,Product Owner,85000,15000,USD,United States,Michigan,Detroit,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Writing and journalism ,Tier 2 writer/ business writer pod manager,56000,0,USD,United States ,New Jersey,Newton ,21 - 30 years,2 - 4 years,Some college,Woman
35-44,Engineering or Manufacturing,Engineering Manager,223000,10000,USD,United States ,South Carolina,Aiken,21 - 30 years,21 - 30 years,College degree,Man
25-34,Computing or Tech,Business operations manager ,72500,0,USD,United States,New York,New York ,2 - 4 years,2 - 4 years,Master's degree,Woman
35-44,Law,Vice President,275000,5000,USD,United States,District of Columbia,Washington,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
25-34,"Marketing, Advertising & PR",Marketing team manager ,90000,40000,USD,United States,Utah,Pleasant grove,5-7 years,5-7 years,College degree,Woman
35-44,"Accounting, Banking & Finance",Senior Business Analyst,91520,5000,USD,United States,Ohio,"Mentor, Ohio",11 - 20 years,11 - 20 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Accounts receivable specialist,35000,0,USD,United States,Indiana,Tell city,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Health care,Ophthalmic Assistant ,54080,5000,USD,United States,Alaska,Anchorage ,5-7 years,2 - 4 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Application developer,65280,1500,USD,United States,Georgia,Atlanta,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Biotech,Research Scientist I,85000,6000,USD,United States,California,San Diego,2 - 4 years,1 year or less,PhD,Woman
25-34,Nonprofits,Volunteer & Community Engagement Coordinator ,72000,0,USD,United States,California,Oakland,8 - 10 years,5-7 years,College degree,Woman
45-54,Hospitality & Events,Restaurant Manager,36400,600,USD,United States,Mississippi,Fulton,11 - 20 years,11 - 20 years,Some college,Woman
35-44,Education (Higher Education),Special events,64000,0,USD,United States,Kentucky,Lexington,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Health care,It analyst,92000,0,USD,United States,Connecticut,Middletown,11 - 20 years,5-7 years,College degree,Man
45-54,Unknown,Inventory Specialist,48000,1000,USD,United States,Illinois,DeKalb,11 - 20 years,8 - 10 years,Some college,Woman
35-44,Computing or Tech,Senior Sales Operations Specialist,90000,10000,USD,United States,Washington,Seattle,21 - 30 years,11 - 20 years,High School,Woman
