JobTitle,Experience_Level,Total_Compensation
"Assessment officer","2 - 4 years",72399
"Asset Analyst","5-7 years",47761
"Asset Forfeiture Specialist","2 - 4 years",57100
"Asset Inspector","21 - 30 years",70500
"Asset manager","11 - 20 years",78000
"Asset Manager","8 - 10 years",75000
"Asset Protection ","11 - 20 years",45760
"Asset Protection ","31 - 40 years",34200
Assistant,"11 - 20 years",69280
Assistant,"2 - 4 years",35300
Assistant,"21 - 30 years",74000
Assistant,"5-7 years",97000
Assistant,"8 - 10 years",15900
"Assistant ","21 - 30 years",53376
"Assistant ","5-7 years",65000
"Assistant ","8 - 10 years",28000
"Assistant Account Executive","1 year or less",58500
"Assistant Account Executive ","5-7 years",48000
"assistant accountant","11 - 20 years",32000
"Assistant Actuary","11 - 20 years",126500
"Assistant Administrator","11 - 20 years",62063
"Assistant Analyst","2 - 4 years",52000
"Assistant Archivist","2 - 4 years",26000
"Assistant Attorney General","2 - 4 years",70019
"Assistant Attorney General","8 - 10 years",160500
"Assistant Bank Manager","5-7 years",71000
"Assistant Bookkeeper","11 - 20 years",36150
"Assistant Branch Manager","11 - 20 years",115375
"Assistant Branch Manager","5-7 years",104145
"Assistant Branch Manager ","2 - 4 years",51750
"Assistant Brand Manager","5-7 years",80000
"Assistant Buyer","2 - 4 years",111000
"Assistant Buyer","5-7 years",57500
"Assistant Center Store Manager","11 - 20 years",44000
"Assistant Center Store Manager","5-7 years",36000
"Assistant Character Designer","8 - 10 years",52000
"Assistant city attorney","21 - 30 years",84400
"Assistant Clinical Professor of Law","11 - 20 years",115000
"Assistant Commissioner","11 - 20 years",90000
"Assistant commissioner ","11 - 20 years",62000
"assistant communications director","11 - 20 years",104500
"Assistant Community Library Manager","21 - 30 years",61000
"Assistant controller","11 - 20 years",324560
"Assistant Controller","2 - 4 years",49100
"Assistant Controller","21 - 30 years",182700
"Assistant Controller","5-7 years",91000
"Assistant Controller","8 - 10 years",123700
"Assistant Controller ","11 - 20 years",220000
"Assistant Controller ","2 - 4 years",84000
"Assistant Counsel","11 - 20 years",82000
"Assistant Counsel","21 - 30 years",100000
"Assistant Counsel","8 - 10 years",112000
"Assistant county attorney","11 - 20 years",95000
"Assistant Court Clerk – Temporary","2 - 4 years",28600
"Assistant Creative Director","1 year or less",50000
"Assistant Customer Service Manager","11 - 20 years",54000
"Assistant Dean","11 - 20 years",96000
"Assistant Dean","21 - 30 years",247000
"Assistant Dean of Admissions","11 - 20 years",100000
"Assistant Department Head","21 - 30 years",60000
"Assistant Deputy Director","11 - 20 years",155000
"Assistant Deputy Minister","11 - 20 years",126300
"Assistant designer ","11 - 20 years",46000
"Assistant Digital Marketing Manager","2 - 4 years",51000
"Assistant Dir. of Admissions","8 - 10 years",44000
"Assistant Director","11 - 20 years",2154550
"Assistant Director","2 - 4 years",155000
"Assistant Director","21 - 30 years",228000
"Assistant Director","5-7 years",415535
"Assistant Director","8 - 10 years",823075
"Assistant director ","11 - 20 years",491200
"Assistant Director ","2 - 4 years",65000
"Assistant Director ","8 - 10 years",282850
"Assistant Director - Medical Library","8 - 10 years",67000
"Assistant Director Communication","11 - 20 years",110000
"Assistant Director of Academic Advising","11 - 20 years",60000
"Assistant Director of Admission","5-7 years",97000
"Assistant Director of Admissions","11 - 20 years",50000
"assistant director of annual fundraising","11 - 20 years",84000
"Assistant Director of Communications","5-7 years",65847
"Assistant Director of Communications and Partnerships","8 - 10 years",83000
"Assistant Director of Development","5-7 years",114500
"Assistant Director of Development ","11 - 20 years",69000
"Assistant Director of Development ","5-7 years",55000
"Assistant Director of Direct Marketing","11 - 20 years",97300
"Assistant Director of Education","8 - 10 years",58800
"Assistant Director of Education ","11 - 20 years",55000
"Assistant Director of Finance","21 - 30 years",253000
"Assistant Director of Finance","8 - 10 years",91000
"Assistant director of finance ","8 - 10 years",53000
"Assistant Director of Graduate Admissions","21 - 30 years",71000
"Assistant Director of Housing and Residence Life","5-7 years",44000
"Assistant Director of HR","11 - 20 years",82000
"Assistant Director of Individual Giving","11 - 20 years",93475
"Assistant Director of Institutional Research","8 - 10 years",90000
"Assistant Director of Major Gifts","8 - 10 years",75000
"Assistant Director of Marketing, International Giving and Engagement","11 - 20 years",5100
"Assistant Director of Operations-Public Utilities","11 - 20 years",83000
"Assistant Director of Prospect Research","11 - 20 years",101143
"Assistant Director of Study Abroad","8 - 10 years",65000
"Assistant Director of the Social Work Department","11 - 20 years",77000
"Assistant Director of Undergraduate Admissions","5-7 years",58300
"Assistant Director of University Libraries","41 years or more",115000
"Assistant Director Special Projects","21 - 30 years",97000
"Assistant Director, Academic  Advising","11 - 20 years",61000
"Assistant Director, Admissions","8 - 10 years",78000
"Assistant Director, Admissions Operations","11 - 20 years",63000
"Assistant Director, Annual Giving","2 - 4 years",62500
"Assistant Director, Data Integrity","8 - 10 years",72000
"Assistant Director, Direct Marketing","11 - 20 years",78750
"Assistant Director, Gifts and Record Management","8 - 10 years",67000
"Assistant Director, Graduate Admissions","8 - 10 years",60000
"Assistant Director, Health Promotion","11 - 20 years",72000
"Assistant Director, HR","11 - 20 years",60750
"Assistant Director, Human Resources","11 - 20 years",96900
"Assistant Director, Internship Program","11 - 20 years",42237
"Assistant Director, Marketing & Communications","8 - 10 years",58000
"Assistant Director, Operations & Events","11 - 20 years",55000
"Assistant Director, Professional School","11 - 20 years",76000
"Assistant Director, Student Advancement","8 - 10 years",49800
"Assistant Director, Student Affairs","11 - 20 years",50000
"Assistant Director/Adult Svcs Coordinator","21 - 30 years",70000
"Assistant District Attorney","5-7 years",308500
"Assistant District Attorney","8 - 10 years",162303
"Assistant District Attorney ","5-7 years",63500
"Assistant Editor","11 - 20 years",40000
"Assistant Editor","2 - 4 years",12000
"Assistant Editor","5-7 years",66500
"Assistant editor","8 - 10 years",90400
"Assistant Editorial Manager","8 - 10 years",58000
"Assistant English Professor","11 - 20 years",41000
"Assistant Fabrication Manager","8 - 10 years",34000
"Assistant Fashion Designer","5-7 years",35000
"Assistant Film Editor","5-7 years",120000
"Assistant General Counsel","11 - 20 years",525000
"Assistant General Counsel","21 - 30 years",730000
"Assistant General Counsel","31 - 40 years",480000
"Assistant General Counsel","5-7 years",126000
"Assistant General Counsel","8 - 10 years",204450
"Assistant General Manager","11 - 20 years",45000
"Assistant General Manager","8 - 10 years",50500
"Assistant General manager ","11 - 20 years",58080
"Assistant Headteacher ","11 - 20 years",48396
"Assistant High School Band Director","8 - 10 years",72500
"Assistant Laboratory Supervisor","5-7 years",37000
"Assistant leader of maths","8 - 10 years",440000
"Assistant Learning Center Coordinato","8 - 10 years",36400
"Assistant librarian","11 - 20 years",54250
"Assistant Librarian","2 - 4 years",74708
"Assistant Librarian","5-7 years",100726
"Assistant librarian","8 - 10 years",113500
"Assistant Librarian/Professor","11 - 20 years",63000
"Assistant library director","11 - 20 years",60000
"Assistant Manager","11 - 20 years",255350
"Assistant Manager","2 - 4 years",131050
"Assistant Manager","5-7 years",317147
"Assistant Manager","8 - 10 years",126000
"Assistant Manager ","11 - 20 years",33000
"Assistant Manager ","5-7 years",31000
"Assistant Manager ","8 - 10 years",40500
"Assistant manager/shift supervisor","11 - 20 years",60000
"Assistant Marketing Director","11 - 20 years",68000
"Assistant Marketing Manager\Graphic Designer","8 - 10 years",50500
"Assistant Media Buyer","5-7 years",54553
"Assistant Merchandiser","5-7 years",20000
"Assistant National Director ","21 - 30 years",70000
"Assistant nature-based preschool teacher ","8 - 10 years",33448
"Assistant Nurse Manager","11 - 20 years",167640
"Assistant Operations Manager","5-7 years",63000
"Assistant Operations Manager and Lift Planner","11 - 20 years",71115
"Assistant Orchestra Librarian","5-7 years",35750
"Assistant Pensions Manager","2 - 4 years",57500
"Assistant Planner","5-7 years",63000
"Assistant Planner","8 - 10 years",100000
"Assistant Principal","2 - 4 years",112000
"Assistant Principal","8 - 10 years",209000
"Assistant principal ","11 - 20 years",216000
"Assistant Principal ","21 - 30 years",100000
"Assistant Producer","8 - 10 years",52000
"Assistant Product Manager","8 - 10 years",34350
"Assistant Production Editor","2 - 4 years",42000
"Assistant Production Editor","5-7 years",45000
"Assistant production manager","8 - 10 years",79500
"Assistant Professor","1 year or less",64200
"Assistant Professor","11 - 20 years",2014200
"Assistant Professor","2 - 4 years",400000
"Assistant Professor","21 - 30 years",155500
"Assistant Professor","5-7 years",2504319
"Assistant professor","8 - 10 years",2065025
"Assistant Professor ","11 - 20 years",567500
"Assistant professor ","2 - 4 years",137000
"Assistant Professor ","21 - 30 years",48000
"Assistant Professor ","5-7 years",144500
"Assistant Professor ","8 - 10 years",195000
"Assistant Professor - Fixed Term","21 - 30 years",175000
"Assistant Professor (Biology)","5-7 years",110000
"Assistant Professor (English Dept.)","11 - 20 years",56300
"Assistant Professor (Tenure-Track)","8 - 10 years",122800
"Assistant Professor in Microbiology","8 - 10 years",95000
"Assistant Professor of Biology","5-7 years",52000
"Assistant Professor of Communication","11 - 20 years",63638
"Assistant Professor of Economics","8 - 10 years",100000
"Assistant Professor of Education","11 - 20 years",109000
"Assistant Professor of History","11 - 20 years",70000
"Assistant Professor of Instruction","11 - 20 years",66000
"Assistant Professor of Law","2 - 4 years",160000
"Assistant Professor of Music","11 - 20 years",40000
"Assistant Professor of Music","8 - 10 years",59000
"Assistant Professor of Pediatrics","8 - 10 years",162700
"Assistant Professor of Practice ","21 - 30 years",55000
"Assistant Professor/Director of Cataloging & Metadata Services","11 - 20 years",64000
"Assistant Program Director","11 - 20 years",72500
"Assistant Program Director","5-7 years",74000
"Assistant Program Manager","5-7 years",56000
"Assistant Project Engineer","1 year or less",61850
"Assistant Project Manafer","8 - 10 years",85000
"Assistant Project Manager","1 year or less",56000
"Assistant Project Manager","11 - 20 years",104900
"Assistant Project Manager","2 - 4 years",67000
"Assistant Project Manager","5-7 years",494500
"Assistant Project Manager","8 - 10 years",85000
"Assistant Project Manager-site acquisition ","5-7 years",60000
"Assistant property manager","21 - 30 years",46000
"Assistant Property Manager","31 - 40 years",57500
"Assistant Property Manager ","5-7 years",112880
"Assistant Public Defender","2 - 4 years",115000
"Assistant Public Defender ","11 - 20 years",80000
"Assistant Public Defender II","11 - 20 years",102500
"Assistant Quality Manager ","2 - 4 years",72100
"Assistant Registrar","2 - 4 years",40
"Assistant Registrar for Catalog","8 - 10 years",53000
"Assistant Research Professor","2 - 4 years",113000
"Assistant Residential Dean","11 - 20 years",35000
"Assistant Resource Specialist ","5-7 years",100200
"Assistant Retail Manager","11 - 20 years",41600
"Assistant Sales Manager","11 - 20 years",70000
"Assistant Scientist","1 year or less",53800
"Assistant Scientist","5-7 years",102000
"Assistant Script Editor","5-7 years",25500
"Assistant Secretary ","11 - 20 years",27800
"Assistant SEO Manager","11 - 20 years",77000
"Assistant service manager","11 - 20 years",145000
"Assistant staff","5-7 years",86000
"Assistant State Auditor","31 - 40 years",60527
"Assistant Statistician","11 - 20 years",33176
"Assistant Store Leader","21 - 30 years",65310
"Assistant Store Manager","1 year or less",34920
"Assistant Store Manager","11 - 20 years",60000
"Assistant store manager","21 - 30 years",73000
"Assistant store manager","31 - 40 years",28250
"Assistant Store Manager","8 - 10 years",121400
"Assistant Store Manager ","5-7 years",148000
"Assistant Supervisor","11 - 20 years",46400
"Assistant Supervisor","5-7 years",33000
"Assistant Teaching Professor","11 - 20 years",52125
"Assistant Teaching Professor","5-7 years",54000
"Assistant Team Lead","5-7 years",87500
"Assistant Team Lead, HR Operations","2 - 4 years",74000
"Assistant Team Manager","5-7 years",75000
"Assistant Technical Director","2 - 4 years",43000
"Assistant to Headmaster","8 - 10 years",51000
"Assistant to Library Director","5-7 years",44900
"Assistant to members","11 - 20 years",61000
"Assistant to Property Managers","8 - 10 years",31500
"Assistant to the Associate Superintendent","31 - 40 years",67900
"Assistant to the CEO/Office Manager","8 - 10 years",51500
"Assistant to the Chair II","21 - 30 years",65000
"Assistant to the Dean","5-7 years",61000
"Assistant to the Director","5-7 years",76000
"Assistant to the Manager","11 - 20 years",80000
"Assistant to the President","5-7 years",53000
"Assistant treasurer","21 - 30 years",55500
"Assistant Underwriter ","1 year or less",450000
"Assistant United States Attorney","11 - 20 years",122000
"Assistant United States Attorney","21 - 30 years",177500
"Assistant US Attorney","8 - 10 years",120000
"Assistant Vice President","11 - 20 years",523000
"Assistant Vice President","8 - 10 years",109000
"Assistant Vice President ","11 - 20 years",310000
"Assistant Vice President - Operations Supervisor","5-7 years",70000
"Assistant Vice President of Enrollment","11 - 20 years",95000
"Assistant Vice President-Manager","5-7 years",158000
"Assistant Vice President, Purchasing","31 - 40 years",170000
"Assistant VP of Information Technology","21 - 30 years",172000
"Assistant VP/Claims Manager","11 - 20 years",114000
"Assistant Winemaker","8 - 10 years",141768
"Assistent Front Office Manager","2 - 4 years",23662
"Assistive Technology Manager","5-7 years",80000
"Assoc Dir Data Analysis","5-7 years",85000
"Assoc Director, Corporate Insurance","21 - 30 years",165000
"Assoc. HR Manager","8 - 10 years",113500
assocaite,"5-7 years",360000
Associate,"1 year or less",86000
Associate,"11 - 20 years",1016500
Associate,"2 - 4 years",3339850
Associate,"5-7 years",4754120
associate,"8 - 10 years",3099480
"Associate ","1 year or less",200000
"Associate ","11 - 20 years",250000
"Associate ","2 - 4 years",125000
"Associate ","5-7 years",1135000
"Associate ","8 - 10 years",185000
"Associate - Financial Reporting","8 - 10 years",85000
"Associate - Labour & Employment","5-7 years",150000
"Associate (Attorney) ","5-7 years",330000
"Associate (consultant)","11 - 20 years",65000
"Associate 1","1 year or less",76000
"Associate Account Director","11 - 20 years",116000
"Associate Account Executive ","11 - 20 years",76000
"Associate Account Representative","1 year or less",141752
"Associate Analytics Engineer","5-7 years",85000
"Associate Architect","2 - 4 years",65000
"Associate Architect","21 - 30 years",130000
"Associate archivist","2 - 4 years",56500
"Associate Art Director","11 - 20 years",78000
"Associate Art Director","8 - 10 years",100000
"Associate Attorneu","2 - 4 years",115000
"Associate Attorney","1 year or less",215000
"Associate Attorney","11 - 20 years",2426500
"Associate Attorney","2 - 4 years",1194200
"Associate Attorney","21 - 30 years",115000
"Associate Attorney","5-7 years",2384990
"Associate Attorney","8 - 10 years",1406900
"Associate Attorney ","2 - 4 years",290000
"Associate Attorney ","5-7 years",1123000
"Associate attorney ","8 - 10 years",527500
"Associate Attorney (mid-level)","5-7 years",365000
"Associate attorney (senior)","8 - 10 years",285000
"Associate Banker","21 - 30 years",33800
"Associate Brand Director","8 - 10 years",190000
"Associate Brand Manager","11 - 20 years",129000
"Associate Brand Manager","5-7 years",120000
"Associate Business Development","8 - 10 years",72475
"Associate category manager","8 - 10 years",91200
"Associate Chairperson","8 - 10 years",389000
"Associate Channel Marketing Specialist","5-7 years",95000
"Associate Client Manager","2 - 4 years",77000
"Associate Clinical Professor","31 - 40 years",100000
"Associate Communications Specialist","2 - 4 years",52000
"Associate Consultand","5-7 years",75000
"Associate Consultant","11 - 20 years",310000
"Associate Consultant","2 - 4 years",926500
"Associate Consultant","5-7 years",220000
"Associate Consultant","8 - 10 years",114000
"Associate Consultant ","2 - 4 years",162500
"Associate Consultant ","5-7 years",62600
"Associate Copy Chief & Manager of Digital Workflow","21 - 30 years",98500
"associate copy editor","21 - 30 years",36000
"Associate Counsel","2 - 4 years",55000
"Associate Counsel","8 - 10 years",82500
"Associate Counsel ","21 - 30 years",84300
"Associate Counsel ","5-7 years",190000
"Associate Creative Director","11 - 20 years",410000
"Associate Creative Director","21 - 30 years",150000
"Associate creative director","5-7 years",239000
"Associate Creative Director","8 - 10 years",121800
"Associate Creative Director ","11 - 20 years",70000
"Associate Creative Director (freelance)","11 - 20 years",157000
"Associate Credit Analyst","2 - 4 years",59740
"Associate Data Analyst","8 - 10 years",64500
"Associate Data Scientist","2 - 4 years",133000
"associate dean","21 - 30 years",220000
"Associate Dean","31 - 40 years",228000
"Associate Dean for Communications","21 - 30 years",185000
"Associate Department Chair","21 - 30 years",80000
"Associate Development Director","11 - 20 years",39520
"Associate Development Officer ","5-7 years",53000
"Associate DevOps Engineer","2 - 4 years",95370
"Associate Digital Implementation Manager","8 - 10 years",95680
"Associate Digital Marketing Manager","2 - 4 years",102300
"Associate Director","11 - 20 years",2434571
"Associate Director","2 - 4 years",60000
"Associate Director","21 - 30 years",898700
"Associate Director","31 - 40 years",228000
"Associate Director","5-7 years",189200
"Associate Director","8 - 10 years",1104838
"Associate Director ","11 - 20 years",1155270
"Associate director ","2 - 4 years",89000
"Associate Director ","21 - 30 years",100000
"Associate Director ","31 - 40 years",209000
"Associate Director ","8 - 10 years",221000
"Associate Director - Business Development","2 - 4 years",150000
"Associate Director - Financial Operations ","8 - 10 years",91000
"Associate Director - Operations","11 - 20 years",138000
"Associate Director Analytics","11 - 20 years",62000
"Associate Director Design + Dev","11 - 20 years",186000
"Associate Director Development","11 - 20 years",160000
"Associate Director Global Scientific Communications ","5-7 years",215000
"Associate Director HR","11 - 20 years",95000
"Associate Director HR","8 - 10 years",97500
"Associate Director Market Access","21 - 30 years",140000
"Associate Director Medical Economics","8 - 10 years",128000
"Associate Director of Academics","8 - 10 years",86103
"Associate Director of Accounting","11 - 20 years",113300
"Associate Director of Admissions","11 - 20 years",201000
"Associate Director of Admissions","8 - 10 years",75000
"Associate Director of Advancement","11 - 20 years",75000
"Associate Director of Analytics","8 - 10 years",110000
"Associate Director of Annual Giving","11 - 20 years",69000
"Associate Director of Annual Giving","8 - 10 years",50000
"Associate Director of Athletics Communications","2 - 4 years",50000
"Associate Director of Customer Service","11 - 20 years",47000
"Associate Director of Design Services","11 - 20 years",67000
"Associate Director of Development","11 - 20 years",144000
"Associate Director of Development","8 - 10 years",52000
"Associate Director of Donor Relations","11 - 20 years",72000
"Associate Director of Evaluation","8 - 10 years",65400
"Associate Director of Finance","8 - 10 years",80673
"Associate Director of Financial Aid","11 - 20 years",90000
"Associate Director of Grants and Proposals","8 - 10 years",52500
"Associate Director of Guest Services","11 - 20 years",65000
"Associate Director of Housing Operations","11 - 20 years",85000
"Associate Director of Human Resources","11 - 20 years",63400
"Associate Director of Marketing","11 - 20 years",113900
"Associate Director of Marketing","8 - 10 years",129000
"Associate Director of Media","5-7 years",102000
"Associate Director of Membership & Events","11 - 20 years",43000
"Associate Director of Operations","11 - 20 years",70000
"Associate Director of operations","5-7 years",86000
"Associate Director of Philanthropy Operations","11 - 20 years",115000
"Associate Director of Product Management","21 - 30 years",310000
"Associate Director of Programs","8 - 10 years",85000
"Associate Director of Public Health Program","21 - 30 years",135000
"Associate Director of Quality","21 - 30 years",111000
"Associate Director of Recruitment and Engagement","11 - 20 years",67800
"Associate Director of Resource Development","11 - 20 years",72500
"Associate Director of Supply Chain","11 - 20 years",130000
"Associate Director of Training ","11 - 20 years",160000
"Associate Director of Undergraduate Admissions","8 - 10 years",74000
"Associate Director of User Experience","8 - 10 years",148000
"Associate Director Project Management","11 - 20 years",200000
"Associate Director Regulatory Affairs","11 - 20 years",165000
"Associate Director, Alumni Relations","5-7 years",133000
"Associate Director, Annual Giving","11 - 20 years",82404
"Associate Director, Annual Giving","5-7 years",58000
"Associate Director, Application Support","8 - 10 years",108900
"Associate director, clinical","11 - 20 years",247000
"Associate Director, Communications","11 - 20 years",170500
"Associate Director, Culture and Talent","8 - 10 years",87000
"Associate Director, Donor Engagement ","8 - 10 years",100000
"Associate Director, Executive Communications ","11 - 20 years",75000
"Associate Director, external communications (press relations, pr, etc.)","21 - 30 years",114000
"Associate Director, Finance Operations","8 - 10 years",120000
"Associate Director, Financial Aid","11 - 20 years",66240
"Associate Director, Graduate & Postdoctoral Affairs","11 - 20 years",92000
"Associate Director, Individual Giving","11 - 20 years",100000
"Associate Director, Information Governance","21 - 30 years",212000
"Associate Director, Inside Sales","11 - 20 years",175000
"Associate Director, Insights","11 - 20 years",77000
"Associate Director, Investor Relations","8 - 10 years",82200
"Associate Director, Learning and Development ","5-7 years",94000
"Associate Director, Market Access","11 - 20 years",195000
"Associate Director, marketing","11 - 20 years",592500
"Associate director, marketing communications","21 - 30 years",191000
"Associate Director, Medical Affairs","11 - 20 years",189500
"Associate Director, Medical Communications","11 - 20 years",193000
"Associate Director, Office of Sponsored Programs","11 - 20 years",108000
"Associate Director, Pre-Health Advising","8 - 10 years",63000
"Associate Director, Procure-to-Pay Technology ","11 - 20 years",107000
"Associate Director, Production Design","11 - 20 years",57000
"Associate Director, Project Operations","8 - 10 years",75000
"Associate Director, Science & Medicine","21 - 30 years",199000
"Associate Director, Talent Acquisition","11 - 20 years",128800
"Associate Director, University Career Center","11 - 20 years",70000
"Associate Director/Program Officer","11 - 20 years",83000
"Associate Distribution designer","8 - 10 years",49500
"Associate Dorector","5-7 years",99000
"Associate Ecologist","1 year or less",46000
"Associate Editor","11 - 20 years",51500
"Associate editor","2 - 4 years",40100
"Associate Editor","5-7 years",276464
"Associate editor","8 - 10 years",176200
"Associate Editor ","5-7 years",64000
"Associate Editorial Director","8 - 10 years",88700
"Associate Engineer","2 - 4 years",63200
"Associate engineer, packaging ","1 year or less",87000
"Associate Events Manager","8 - 10 years",42460
"Associate Executive ","11 - 20 years",80000
"Associate Executive Director","11 - 20 years",162500
"Associate Finance Manager","8 - 10 years",110000
"Associate Financial Advisor ","1 year or less",44000
"Associate Financial Planner","11 - 20 years",65000
"Associate Fund Accountant","2 - 4 years",65500
"Associate General Counsel","11 - 20 years",1431200
"Associate General Counsel","5-7 years",467500
"Associate General Counsel","8 - 10 years",648685
"Associate General counsel ","11 - 20 years",369000
"Associate general counsel ","8 - 10 years",155000
"Associate General Counsel, IP","11 - 20 years",270000
"Associate General Manager","11 - 20 years",72000
"Associate Governmental Program Analyst","5-7 years",60990
"Associate Head: School of Sciences","11 - 20 years",128400
"Associate In-House Counsel","8 - 10 years",122000
"Associate Investment Advisor","8 - 10 years",52500
"Associate IRB Chair","11 - 20 years",71000
"Associate Lawyer","5-7 years",270000
"Associate Lawyer","8 - 10 years",307900
"Associate librarian","11 - 20 years",387065
"Associate Librarian","21 - 30 years",78686
"Associate Librarian","8 - 10 years",108369
"Associate Magazine Editor","11 - 20 years",57000
"Associate Manager","11 - 20 years",77490
"Associate Manager","5-7 years",47000
"Associate Manager","8 - 10 years",98800
"Associate Manager ","8 - 10 years",126500
"Associate Manager Original Series Development","11 - 20 years",135000
"Associate Manager- HR Operations","5-7 years",96000
"Associate Manager, Accounting","5-7 years",121250
"Associate Manager, Education","5-7 years",74000
"Associate Manager, Global Brand Marketing","5-7 years",125000
"Associate Managing Editor","11 - 20 years",113250
"Associate Marketing Director","21 - 30 years",105017
"Associate Marketing Manager","2 - 4 years",68250
"Associate marketing manager ","8 - 10 years",127600
"Associate Mechanical Engineer","1 year or less",69000
"Associate Medical Director","11 - 20 years",260000
"Associate Medical Director","8 - 10 years",135000
"Associate Membership Director","5-7 years",43700
"Associate Merchant","11 - 20 years",69400
"Associate Network Engineer","21 - 30 years",79378
"Associate Partner","21 - 30 years",175000
"Associate Partner ","21 - 30 years",260000
"Associate Policy Principle","11 - 20 years",104500
"associate principal","11 - 20 years",265000
"Associate Principal","8 - 10 years",85000
"Associate Principal ","11 - 20 years",98000
"Associate Principal Scientist Lead","11 - 20 years",160000
"Associate Producer","5-7 years",105000
"Associate Producer","8 - 10 years",72000
"Associate Product Manager","1 year or less",71000
"Associate Product Manager","2 - 4 years",356925
"Associate Product Manager","31 - 40 years",80000
"Associate Product Manager","5-7 years",57500
"Associate Product Manager","8 - 10 years",193500
"Associate Product Manager ","2 - 4 years",68500
"Associate Production Manager","8 - 10 years",52000
"Associate Production Planning Manager","5-7 years",141000
"Associate Professor","11 - 20 years",2996950
"Associate professor","21 - 30 years",579079
"Associate Professor","31 - 40 years",278000
"Associate Professor","8 - 10 years",729500
"Associate professor ","11 - 20 years",166500
"Associate Professor ","21 - 30 years",260500
"Associate Professor ","31 - 40 years",110000
"Associate Professor / Department Chair","11 - 20 years",95000
"Associate Professor & Academic Program Director","8 - 10 years",80000
"Associate Professor and Program Coordinator","31 - 40 years",89000
"Associate Professor of Business","8 - 10 years",140000
"Associate Professor of English","11 - 20 years",64000
"Associate Professor of History","21 - 30 years",139500
"Associate Professor of Management","11 - 20 years",165200
"Associate Professor of Political Science","11 - 20 years",91000
"Associate Professor-Librarian","21 - 30 years",98000
"Associate Professor, Business Management","31 - 40 years",205000
"Associate Professor, Library","31 - 40 years",60350
"Associate Professor/Director","31 - 40 years",129320
"Associate Program Manager","2 - 4 years",47000
"Associate Program Manager","5-7 years",93500
"Associate Program Officer","8 - 10 years",106500
"associate project leader","8 - 10 years",89000
"Associate Project Manager","2 - 4 years",66500
"Associate Project Manager","21 - 30 years",79905
"Associate Project Manager","5-7 years",91200
"Associate Project Manager ","8 - 10 years",80000
"Associate Project manager/Scrum Master","5-7 years",80000
"Associate Publications Specialist","5-7 years",45750
"Associate Publicist","5-7 years",55500
"Associate Publicity DIrector","11 - 20 years",97000
"Associate Publisher","8 - 10 years",60000
"Associate Publishing Manager","8 - 10 years",61500
"Associate Recruiter","2 - 4 years",49000
"Associate Registrar","11 - 20 years",50000
"Associate Registrar","21 - 30 years",78000
"Associate Research Professor","11 - 20 years",120000
"Associate Research Scientist","1 year or less",112500
"Associate Research Scientist","11 - 20 years",105000
"Associate research scientist","8 - 10 years",74100
"Associate Research Scientist ","2 - 4 years",87000
"Associate research specialist","5-7 years",36400
"Associate Safety Officer","11 - 20 years",111000
"Associate Scientific Director","5-7 years",104000
"Associate Scientist","2 - 4 years",146900
"Associate Scientist","5-7 years",127000
"Associate Scientist","8 - 10 years",210000
"Associate Scientist ","2 - 4 years",113100
"Associate Scientist ","8 - 10 years",47000
"Associate Scientist II","2 - 4 years",163150
"Associate Scientist III","1 year or less",89000
"Associate Scientist IV","11 - 20 years",103000
"Associate Social Producer","5-7 years",58000
"Associate Software Developer","1 year or less",111000
"Associate Software Engineer","1 year or less",107000
"Associate Software Engineer","11 - 20 years",146174
"Associate software engineer","5-7 years",199500
"Associate Solutions Architect","2 - 4 years",135000
"Associate Staff Firmware Engineer","21 - 30 years",215000
"Associate Staff Scientist","21 - 30 years",82000
"Associate Strategy Director","11 - 20 years",120000
"Associate Systems Administrator","2 - 4 years",84000
"Associate Systems Engineer","11 - 20 years",95000
"Associate Systems Specialist","2 - 4 years",52500
"Associate teaching professor ","11 - 20 years",101000
"Associate Team Lead - Revenue Cycle","11 - 20 years",4452
"Associate Technical Account Manager","8 - 10 years",150000
"Associate Technical Staff","2 - 4 years",125000
"Associate Technology 2","11 - 20 years",82891
"Associate Tutor","8 - 10 years",50000
"Associate University Counsel","8 - 10 years",72578
"Associate Vice chancellor for academic affairs ","31 - 40 years",145000
"Associate Vice President","11 - 20 years",238000
"Associate VP","8 - 10 years",170000
"Associate Water Resources Engineer","5-7 years",84000
"Associate, Client Finance","11 - 20 years",41100
"Associatiate Producer of Multimedia Content","5-7 years",82600
"Assoicate Library Director","11 - 20 years",101000
"asst digital editor and producer","1 year or less",38000
"Asst director ","8 - 10 years",100000
"Asst Prof, Non-tenure track","11 - 20 years",62000
"Asst Professor","11 - 20 years",64000
"Asst Vice President/ loan officer ","11 - 20 years",71500
"Asst vp planning","11 - 20 years",87000
"Asst. Curator & Outreach Coordinator","11 - 20 years",30000
"Asst. General Counsel","11 - 20 years",250186
"Asst. Office Manager","8 - 10 years",52500
"Asst. Program Director & Volunteer Coordinator","2 - 4 years",43680
"Assurance senior","5-7 years",73000
"Assurance Senior Associate","2 - 4 years",71000
"Asylum Officer","5-7 years",94000
"Attending Physician (general internal medicine)","5-7 years",1900000
Attorney,"11 - 20 years",3027044
Attorney,"2 - 4 years",927050
Attorney,"21 - 30 years",2946628
Attorney,"31 - 40 years",751500
Attorney,"5-7 years",3001280
Attorney,"8 - 10 years",3349500
"Attorney ","11 - 20 years",969220
